Author,Released,Series,Titles,Datasets
Oliveira,FY14,EIB-119,Trends in Infant Formula Rebate Contracts: Implications for the WIC Program,▪USDA’s Food and Nutrition Service (FNS)
Oliveira,FY14,EIB-120,The Food Assistance Landscape: FY 2013 Annual Report,▪USDA’s Food and Nutrition Service (FNS)
Kaufman,FY15,EIB-131,"Measuring Access to Healthful, Affordable Food in American Indian and Alaska Native Tribal Areas","▪special tabulation was performed by USDA, Food and Nutrition Service to identify all SNAP-authorized stores ▪USDA, Food and Nutrition Service FDPIR Policy Branch  "
Oliveira,FY15,EIB-137,The Food Assistance Landscape: FY 2014 Annual Report,▪USDA’s Food and Nutrition Service (FNS)
Davis-Oliveira,FY15,EIB-142,"Manufacturers’ Bids for WIC Infant Formula Rebate Contracts, 2003-2013",▪USDA’s Food and Nutrition Service (FNS)
Ollinger,FY16,ERR-196,"Economies of Scale, the Lunch-Breakfast Ratio, and the Cost of USDA School Breakfasts and Lunches",▪USDA’s Food and Nutrition Service (FNS)
Ralston,FY17,EIB-168,Daily Access to Local Foods for School Meals: Key Drivers,▪2013 Farm to School Census (collected jointly by ERS and FNS under an interagency agreement)
Oliviera,FY17,EIB-169,The Food Assistance Landscape: FY 2016 Annual Report,▪Food and Nutrition Service (FNS) administrative data
Oliveira,FY18,EIB-190,The Food Assistance Landscape: FY 2017 Annual Report,▪FNS
Guthrie,FY18,ERR-255,Characteristics of School Districts Offering Free School Meals to All Students Through the Community Eligibility Provision of the National School Lunch Program,▪Food and Nutrition Service (participation decision)
Oliveira,FY19,ERR-261,"The Economic Impacts of Breastfeeding: A Focus on USDA’s Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",▪Food and Nutrition Service (FNS) 
Oliveira,FY19,EIB-207,The Food Assistance Landscape: FY 2018 Annual Report,▪FNS
"Pender (Todd, Jo)",FY19,ERR-263,The Impacts of Supplemental Nutrition Assistance Program Redemptions on County-Level Employment,▪FNS
