Author,Released,Series,Titles,Datasets
Ver Ploeg,FY15,EIB-138,Where Do Americans Usually Shop for Food and How Do They Travel To Get There? Initial Findings from the National Household Food Acquisition and Purchase Survey,FoodAPS
Todd,FY16,EIB-156,Where Households Get Food in a Typical Week: Findings from USDA’s FoodAPS,FoodAPS
Ver Ploeg,FY16,EIB-157,Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,FoodAPS
Dong,FY16,ERR-207,WIC Households' Food Purchases Using WIC Benefits and Paying Out of Pocket: A Case Study of Cold Cereal Purchases,FoodAPS
Sweitzer,FY17,TB-1946,Food-at-Home Expenditures: Comparing Commercial Household Scanner Data From IRI and Government Survey Data,FoodAPS
Jo,FY17,EIB-179,The Differences in Characteristics Among Households With and Without Obese Children: Findings From USDA’s FoodAPS,FoodAPS
Tiehen,FY17,EIB-176,The Food-Spending Patterns of Households Participating in the Supplemental Nutrition Assistance Program: Findings From USDA's FoodAPS,FoodAPS
Ver Ploeg,FY18,EIB-180,The Influence of Food Store Access on Grocery Shopping and Food Spending,FoodAPS
Mancino,FY18,TB-1947,USDA's National Household Food Acquisition and Purchase Survey: Methodology for Imputing Missing Quantities To Calculate Healthy Eating Index-2010 Scores and Sort Foods Into ERS Food Groups,FoodAPS
Mancino,FY18,EIB-188,Nutritional Quality of Foods Acquired by Americans: Findings From USDA’s National Household Food Acquisition and Purchase Survey,FoodAPS
Stewart,FY18,ERR-242,The Relationship Between Patronizing Direct-to-Consumer Outlets and a Household’s Demand for Fruits and Vegetables,FoodAPS
Zeballos,FY18,ERR-247,The Association Between Nutrition Information Use and the Healthfulness of Food Acquisitions,FoodAPS
Saksena,FY18,EIB-196,America’s Eating Habits: Food Away From Home,FoodAPS
Rahkovsky,FY18,ERR-251,Consumers Balance Time and Money in Purchasing Convenience Foods,FoodAPS
Stewart,FY19,ERR-268,"USDA Special Supplemental Nutrition Program for Women, Infants, and Children (WIC): A New Look at Key Questions 10 Years After USDA Added Whole-Grain Bread to WIC Food Packages in 2009",FoodAPS
Gregory,FY19,ERR-269,Food Security and Food Purchase Quality Among Low-Income Households: Findings From the National Household Food Acquisition and Purchase Survey (FoodAPS),FoodAPS
