Author,Released,Series,Titles,Datasets
Kuchler,FY15,ERR-193,How Much Does It Matter How Sick You Get? Consumers’ Responses to Foodborne Disease Outbreaks of Different Severities,IRI
Stewart,FY16,EB-27,The Cost of Satisfying Fruit and Vegetable Recommendations in the Dietary Guidelines,IRI
Ver Ploeg,FY16,EIB-157,Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,IRI
Dong,FY16,ERR-207,WIC Households' Food Purchases Using WIC Benefits and Paying Out of Pocket: A Case Study of Cold Cereal Purchases,IRI
Sweitzer,FY16,TB-1942,Understanding IRI Household-Based and Store-Based Scanner Data,IRI
Volpe,FY17,EIB-167,Store Formats and Patterns in Household Grocery Purchases,IRI
Sweitzer,FY17,TB-1946,Food-at-Home Expenditures: Comparing Commercial Household Scanner Data From IRI and Government Survey Data,IRI
Kuhns,FY17,EIB-167,Store Formats and Patterns in Household Grocery Purchases,IRI
Martinez,FY18,EIB-183,An Assessment of Product Turnover in the U.S. Food Industry and Effects on Nutrient Content,IRI
Kuhns,FY18,EIB-186,Food Purchase Decisions of Millennial Households Compared to Other Generations,IRI
Saksena,FY18,EIB-196,America’s Eating Habits: Food Away From Home,IRI
Levin/Okrent,FY19,TB-1949,"Examining Food Store Scanner Data: A Comparison of the IRI InfoScan Data with Other Data Sets, 2008–2012",▪IRI InfoScan
Carlson,FY19,TB-1952,Linking USDA Nutrition Databases to IRI Household-Based and Store-Based Scanner Data,▪IRI scanner data (2013)
Stewart,FY19,ERR-268,"USDA Special Supplemental Nutrition Program for Women, Infants, and Children (WIC): A New Look at Key Questions 10 Years After USDA Added Whole-Grain Bread to WIC Food Packages in 2009",▪IRI
